epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5364.63,0.59842,0.42096,0.91153,0.97089,0.96287,0.9823,0.87807,0.53643,0.28949,0.86897,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5541.8,0.59593,0.4167,0.91283,0.97332,0.96187,0.98199,0.87726,0.5387,0.28106,0.87111,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5737.63,0.58922,0.41542,0.90949,0.97001,0.9649,0.98285,0.88048,0.53276,0.27714,0.86964,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,5924.13,0.58089,0.40803,0.90615,0.97148,0.96217,0.98279,0.87963,0.5309,0.28036,0.86712,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6099.49,0.58099,0.40153,0.90588,0.97519,0.96257,0.98269,0.88099,0.5311,0.27885,0.86897,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6288.47,0.57577,0.3994,0.90736,0.97438,0.96177,0.98274,0.88016,0.533,0.27597,0.86928,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6478.68,0.57307,0.39722,0.90483,0.97595,0.9606,0.98176,0.87974,0.53294,0.27328,0.86783,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6674.8,0.56995,0.393,0.90491,0.97412,0.96227,0.98265,0.88128,0.53025,0.27141,0.86631,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,6884.55,0.56702,0.38723,0.90319,0.97567,0.96326,0.98303,0.88167,0.52874,0.27199,0.86707,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7097.53,0.53875,0.28609,0.89358,0.96982,0.96834,0.98296,0.88123,0.52627,0.27248,0.86738,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7283.1,0.53163,0.27928,0.88996,0.97096,0.96774,0.9833,0.8824,0.52428,0.26861,0.86566,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7445.57,0.52505,0.27566,0.88781,0.96879,0.96904,0.98308,0.88375,0.52417,0.26746,0.86543,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7606.16,0.51882,0.27031,0.8864,0.97077,0.96992,0.98336,0.88463,0.52238,0.26601,0.86419,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,7767.12,0.51051,0.26538,0.88164,0.97209,0.96619,0.98362,0.88388,0.52165,0.26406,0.86335,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,7927.64,0.50646,0.26116,0.88064,0.97359,0.9651,0.98329,0.88387,0.52102,0.26379,0.86314,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8088,0.50079,0.25806,0.88063,0.97215,0.96557,0.98336,0.8839,0.52002,0.26344,0.86383,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8258.57,0.49483,0.25324,0.87721,0.97376,0.96546,0.98247,0.88363,0.52005,0.26264,0.864,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8431.27,0.48957,0.25014,0.87552,0.97342,0.96522,0.98228,0.88352,0.52005,0.26317,0.86383,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,8601.52,0.48305,0.24544,0.87178,0.97282,0.96497,0.98188,0.8835,0.52124,0.26184,0.86425,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
