epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4086.51,0.64617,0.45365,0.91406,0.97393,0.95713,0.97989,0.87268,0.55045,0.2867,0.91276,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,4209.7,0.64571,0.45049,0.91391,0.97447,0.96006,0.98039,0.87588,0.54848,0.28435,0.91179,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,4332.64,0.63929,0.44804,0.91255,0.97243,0.96222,0.98069,0.87491,0.54563,0.28075,0.91261,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,4456.07,0.631,0.4405,0.90924,0.97047,0.96191,0.97891,0.87434,0.54429,0.28093,0.9117,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,4578.99,0.63134,0.43906,0.90806,0.97124,0.96217,0.98013,0.87577,0.5444,0.27846,0.9116,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,4702.24,0.62583,0.43557,0.90843,0.97343,0.96126,0.97897,0.87702,0.54392,0.27759,0.90878,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,4825.63,0.62508,0.43283,0.90757,0.97454,0.95848,0.97958,0.87634,0.54035,0.27842,0.90914,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,4948.93,0.62146,0.42864,0.90623,0.97215,0.96178,0.98027,0.87863,0.53938,0.27591,0.90818,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,5072.07,0.61891,0.42365,0.90501,0.97479,0.9587,0.98027,0.87902,0.53718,0.2753,0.90607,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,5194.89,0.61425,0.42179,0.90323,0.97658,0.9561,0.97981,0.87802,0.53886,0.27448,0.90812,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,5317.86,0.60876,0.42006,0.90217,0.97284,0.95928,0.98021,0.88016,0.53556,0.26989,0.90727,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,5440.83,0.60323,0.4111,0.90025,0.97547,0.95949,0.97946,0.87931,0.53401,0.26931,0.9078,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,5563.95,0.60171,0.4107,0.90044,0.97401,0.95885,0.97949,0.87932,0.53561,0.27018,0.90824,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,5687.08,0.60025,0.40893,0.89985,0.97255,0.96298,0.97955,0.88014,0.5331,0.26718,0.90759,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,5810.16,0.59513,0.40364,0.89747,0.97635,0.9602,0.97932,0.87991,0.53297,0.2665,0.90651,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,5933.26,0.588,0.40153,0.89592,0.97669,0.96037,0.9794,0.87898,0.53306,0.26507,0.90632,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,6056.22,0.58976,0.39851,0.89665,0.97717,0.96073,0.9799,0.87881,0.53375,0.26572,0.90759,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,6179.32,0.58858,0.39853,0.89723,0.97577,0.96046,0.9798,0.87934,0.53389,0.26415,0.90801,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,6302.38,0.58062,0.3903,0.89372,0.97643,0.96064,0.97957,0.87943,0.53411,0.26329,0.90785,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,6440.12,0.5531,0.2846,0.88949,0.9758,0.96021,0.98037,0.88062,0.53282,0.26017,0.90832,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,6562.95,0.54455,0.27772,0.88561,0.97637,0.96093,0.97992,0.88069,0.53139,0.25869,0.90742,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,6686.01,0.53843,0.27443,0.8821,0.9749,0.96277,0.98009,0.88039,0.53102,0.26048,0.90684,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,6809.06,0.53376,0.27062,0.88228,0.97368,0.96377,0.97998,0.88029,0.52914,0.2606,0.90595,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,6932.05,0.52506,0.26602,0.87882,0.97368,0.9646,0.97992,0.88029,0.52786,0.25849,0.90604,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,7055.1,0.52289,0.26289,0.87861,0.97504,0.96336,0.97927,0.88061,0.52633,0.25623,0.90589,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,7178.15,0.5188,0.25947,0.87735,0.97489,0.96452,0.97931,0.88053,0.52628,0.2559,0.90606,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,7301,0.51296,0.25788,0.87556,0.97472,0.9647,0.97933,0.88042,0.52635,0.25505,0.90598,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,7423.93,0.50629,0.25228,0.87214,0.97507,0.96469,0.9794,0.88067,0.52623,0.25408,0.90585,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,7546.81,0.50282,0.24983,0.87048,0.97421,0.96483,0.97948,0.88071,0.5263,0.25329,0.906,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
